price,guests,beds,bedrooms,baths,superhost,favourite,rating,reviews,latitude,longitude,area_Ampelokipoi-Menemeni,area_Evosmos,area_Stavroupoli,parking,view,self_checkin
53.0,3,2.0,0.0,1.0,1,0,5.0,3.0,40.6675,22.9329,1,0,0,1,0,1
59.0,4,2.0,1.0,1.0,1,0,4.11267716535433,0.0,40.6675,22.933,1,0,0,0,0,1
77.25,5,2.0,2.0,1.0,0,0,4.11267716535433,0.0,40.64306,22.9649,1,0,0,0,0,0
106.93,6,3.0,2.0,1.0,0,0,4.11267716535433,0.0,40.635,22.9363,1,0,0,0,0,0
50.0,2,1.0,1.0,1.0,0,0,4.11267716535433,0.0,40.647,22.9225,1,0,0,1,0,0
100.0,8,5.0,4.0,2.0,1,0,4.0,375.0,40.6336,22.9416,1,0,0,0,0,1
59.46,4,2.0,2.0,1.0,1,0,4.0,331.0,40.6423,22.9312,1,0,0,0,1,1
61.1,4,3.0,0.0,1.0,1,0,4.0,247.0,40.6687,22.9151,1,0,0,0,0,1
357.22,16,10.0,6.0,4.0,0,0,4.0,112.0,40.6645,22.9017,1,0,0,0,0,1
88.13,7,3.0,2.0,1.0,0,0,4.0,19.0,40.6568,22.9289,1,0,0,0,0,1
72.0,5,3.0,2.0,1.0,1,1,4.0,233.0,40.64672,22.93388,1,0,0,0,1,1
104.0,9,6.0,3.0,2.0,1,0,4.0,320.0,40.6312,22.9431,1,0,0,0,0,1
92.83,6,3.0,2.0,1.0,0,0,4.0,387.0,40.62984,22.9451,1,0,0,0,0,0
29.84,2,1.0,1.0,1.0,1,0,4.0,189.0,40.66211,22.91335,1,0,0,1,0,1
106.93,4,2.0,2.0,1.0,0,0,4.0,47.0,40.658,22.9133,1,0,0,0,0,1
76.61,8,4.0,2.0,1.0,1,1,4.0,214.0,40.64769,22.94089,1,0,0,0,1,1
110.0,9,5.0,2.0,1.0,1,1,4.0,70.0,40.6691,22.9173,1,0,0,1,1,1
55.07,6,4.0,2.0,1.0,1,1,4.0,154.0,40.63015,22.95384,1,0,0,0,0,1
49.35,3,3.0,1.0,1.0,1,0,4.0,124.0,40.649,22.9291,1,0,0,1,0,1
59.93,5,2.0,2.0,1.0,1,0,4.0,764.0,40.6418,22.9434,1,0,0,0,0,1
62.0,3,1.0,0.0,1.0,1,0,4.0,391.0,40.63398,22.9396,1,0,0,0,0,1
78.73,4,2.0,2.0,1.0,0,0,4.0,123.0,40.6715,22.89646,1,0,0,1,0,0
101.76,4,2.0,1.0,1.0,1,1,4.0,81.0,40.669,22.921,1,0,0,0,0,1
94.0,4,3.0,2.0,1.0,0,1,4.0,88.0,40.64257,22.93562,1,0,0,0,0,0
60.4,2,1.0,0.0,1.0,0,0,4.0,193.0,40.63742,22.93827,1,0,0,0,0,1
45.0,3,,0.0,1.0,1,1,4.0,179.0,40.61944,22.9573,1,0,0,0,0,0
62.51,4,1.0,1.0,1.0,1,1,4.0,157.0,40.66636,22.92881,1,0,0,0,0,1
81.2,3,1.0,1.0,1.0,1,1,4.0,87.0,40.6688,22.9214,1,0,0,0,1,1
110.4,4,2.0,1.0,1.0,0,0,4.0,141.0,40.63605,22.93596,1,0,0,0,0,1
36.49,3,1.0,1.0,1.0,0,0,4.0,83.0,40.6395,22.9386,1,0,0,0,0,1
87.17,8,4.0,4.0,1.0,1,0,4.0,363.0,40.63099,22.94062,1,0,0,0,0,1
59.4,6,3.0,2.0,1.0,1,0,4.0,76.0,40.6799,22.9366,1,0,0,1,0,1
69.5,4,2.0,1.0,1.0,1,0,4.0,132.0,40.6839,22.931,1,0,0,0,1,1
75.0,4,2.0,1.0,1.0,1,1,4.0,269.0,40.6339,22.9415,1,0,0,0,1,1
135.0,19,13.0,6.0,3.0,1,1,4.0,47.0,40.6371,22.9361,1,0,0,0,0,1
100.0,6,4.0,2.0,1.0,1,1,4.0,319.0,40.6339,22.9415,1,0,0,0,0,1
67.92,4,3.0,2.0,1.0,1,1,4.0,263.0,40.5847,22.9547,1,0,0,0,0,1
158.63,4,2.0,2.0,1.0,1,1,4.0,59.0,40.64167,22.96235,1,0,0,0,1,1
61.0,3,2.0,1.0,1.0,1,1,5.0,97.0,40.6587,22.9285,1,0,0,1,0,1
53.88,3,2.0,0.0,1.0,0,0,4.0,39.0,40.64328,22.92211,1,0,0,0,0,0
49.32,2,2.0,0.0,1.0,0,0,4.0,49.0,40.64555,22.92201,1,0,0,0,0,0
41.0,3,2.0,0.0,1.0,0,0,4.0,95.0,40.64181,22.93564,1,0,0,0,0,1
62.0,4,2.0,1.0,1.0,1,0,4.0,118.0,40.68479,22.93149,1,0,0,0,1,1
70.5,2,1.0,1.0,1.0,1,1,4.0,81.0,40.6755,22.8994,1,0,0,1,0,0
99.0,4,2.0,2.0,1.0,1,1,4.0,60.0,40.65775,22.92822,1,0,0,0,0,0
41.0,2,1.0,0.0,1.0,0,0,4.0,61.0,40.6381,22.93609,1,0,0,0,0,1
43.0,3,1.0,1.0,1.0,1,0,4.0,88.0,40.64191,22.93497,1,0,0,0,0,1
41.0,4,2.0,1.0,1.0,1,0,4.0,82.0,40.6662,22.9039,1,0,0,0,0,1
40.4,4,2.0,1.0,1.0,1,0,4.0,138.0,40.66652,22.9036,1,0,0,0,0,1
120.0,13,9.0,4.0,2.0,1,1,4.0,439.0,40.63,22.9483,1,0,0,0,0,1
54.96,2,2.0,0.0,1.0,1,0,4.0,69.0,40.64063,22.9272,1,0,0,0,0,0
41.0,3,2.0,0.0,1.0,0,0,4.0,67.0,40.64217,22.93502,1,0,0,0,0,1
